symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
DOTUSDT,2025-10-26 01:19:57.944942,2025-10-26 01:20:09.240030,SL,-0.0323834196891228,-6.476683937824558,-0.06476683937824558,11.295088,3.237817710862522,0.6786118151152001,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:37:03.556203,2025-10-26 01:37:13.077886,SL,-0.03234152652005536,-6.468305304011072,-0.06468305304011072,9.521683,3.233629749393338,0.5283545884241505,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:57:49.523141,2025-10-26 01:58:11.446487,SL,-0.03221649484536442,-6.443298969072886,-0.06443298969072886,21.923346,3.2211306168461586,0.7397186457710788,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:15:54.128467,2025-10-26 02:16:11.435115,SL,-0.04843396835647585,-9.686793671295169,-0.09686793671295169,17.306648,3.2284100080706692,0.7413153537068142,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:16:24.210675,2025-10-26 02:16:38.471560,SL,-0.03232062055591111,-6.464124111182223,-0.06464124111182223,14.260885,3.2315398287294683,0.2878185818243358,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-26 02:22:09.496802,2025-10-26 02:22:32.186807,SL,-0.050684237202229025,-10.136847440445806,-0.10136847440445805,22.690005,5.067139599694964,0.5298202899537743,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:24:53.205947,2025-10-26 02:25:10.634986,SL,-0.032331070158418684,-6.466214031683737,-0.06466214031683737,17.429039,3.2325844512684334,0.45163837603250356,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:31:06.360130,2025-10-26 02:31:24.831091,SL,-0.03232062055591111,-6.464124111182223,-0.06464124111182223,18.470961,3.2315398287294683,0.37132388099516306,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:33:07.800420,2025-10-26 02:33:11.168447,SL,-0.032310177705981,-6.4620355411962,-0.064620355411962,3.368027,3.2304958811173954,0.34241551649952007,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 02:44:28.457282,2025-10-26 02:44:53.505633,SL,-0.016144656118822893,-3.2289312237645778,-0.03228931223764578,25.048351,3.2284100080706692,0.28116292087602496,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:02:20.604760,2025-10-26 03:02:42.019442,SL,-0.0323834196891228,-6.476683937824558,-0.06476683937824558,21.414682,3.237817710862522,0.3976918155522933,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 03:05:47.108428,2025-10-26 03:06:11.076844,SL,-0.04391743522178796,-8.783487044357592,-0.08783487044357592,23.968416,4.3907793633365095,0.4012463444999606,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:10:39.163093,2025-10-26 03:10:46.477518,SL,-0.0324780772978276,-6.49561545956552,-0.0649561545956552,7.314425,3.247280402662412,0.33792604127252085,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:12:07.774303,2025-10-26 03:12:30.051324,SL,-0.032435939020438266,-6.487187804087653,-0.06487187804087653,22.277021,3.2430679422730333,0.36893793345184145,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:13:36.538597,2025-10-26 03:13:57.225198,SL,-0.03232062055591111,-6.464124111182223,-0.06464124111182223,20.686601,3.2315398287294683,0.2842855331443425,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-26 03:15:26.065396,2025-10-26 03:15:34.384844,SL,-0.05076142131979587,-10.152284263959174,-0.10152284263959174,8.319448,5.074854097945478,0.6640322786861362,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:15:32.153348,2025-10-26 03:15:42.240533,SL,-0.032362459546922004,-6.4724919093844,-0.06472491909384401,10.087185,3.2357223750213038,0.7147741551244525,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:16:59.417698,2025-10-26 03:17:22.837628,SL,-0.032414910858991564,-6.482982171798314,-0.06482982171798314,23.41993,3.240965807810371,0.5419210190408793,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:18:43.031899,2025-10-26 03:19:07.532289,SL,-0.032331070158418684,-6.466214031683737,-0.06466214031683737,24.50039,3.2325844512684334,0.39711941681295104,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 03:23:05.080502,2025-10-26 03:23:13.581621,SL,-0.04391743522178796,-8.783487044357592,-0.08783487044357592,8.501119,4.3907793633365095,0.4157250299749301,0.0,0.0,0.0,0.0,,0,SL
