Entry Time,Exit Time,Symbol,Entry Side,Status,Entry Price,Exit Price,Entry Qty,P&L USD,P&L %,Total Fee,Hold Duration (sec),Exit Reason,Strategy Tag
2025-10-20T15:11:31.710794,2025-10-20T15:11:33.202994,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.49,TP,mm_entry
2025-10-20T15:11:31.459831,2025-10-20T15:11:46.765116,VETUSDT,BUY,CLOSED,0.01799000,0.01800000,2779.32184547,0.0278,0.06,,15.31,TP,mm_entry
2025-10-20T15:11:31.249799,2025-10-20T15:11:56.275229,ATOMUSDT,BUY,CLOSED,3.28600000,3.28700000,15.21606817,0.0152,0.03,,25.03,TIMEOUT,mm_entry
2025-10-20T15:11:27.280166,2025-10-20T15:11:28.719344,VETUSDT,BUY,CLOSED,0.01798000,0.01800000,2780.86763070,0.0556,0.11,,1.44,TP,mm_entry
2025-10-20T15:11:27.072679,2025-10-20T15:11:52.266570,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.19,TIMEOUT,mm_entry
2025-10-20T15:11:26.866628,2025-10-20T15:11:49.820193,ICPUSDT,BUY,CLOSED,3.16700000,3.16900000,15.78781181,0.0316,0.06,,22.95,TP,mm_entry
2025-10-20T15:11:26.659664,2025-10-20T15:11:29.132686,ATOMUSDT,BUY,CLOSED,3.28500000,3.28700000,15.22070015,0.0304,0.06,,2.47,TP,mm_entry
2025-10-20T15:11:26.469293,2025-10-20T15:11:28.925404,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,2.46,TP,mm_entry
2025-10-20T15:10:15.095649,2025-10-20T15:10:40.190714,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.10,TIMEOUT,mm_entry
2025-10-20T15:09:53.525871,2025-10-20T15:10:12.790372,TRXUSDT,BUY,CLOSED,0.32260000,0.32280000,154.99070056,0.0310,0.06,,19.26,TP,mm_entry
2025-10-20T15:09:26.090115,2025-10-20T15:09:51.145746,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.06,TIMEOUT,mm_entry
2025-10-20T15:08:58.722099,2025-10-20T15:09:23.746928,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.02,TIMEOUT,mm_entry
2025-10-20T15:08:31.397141,2025-10-20T15:08:56.440414,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.04,TIMEOUT,mm_entry
2025-10-20T15:08:03.584541,2025-10-20T15:08:28.611658,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.03,TIMEOUT,mm_entry
2025-10-20T15:07:36.204673,2025-10-20T15:08:01.206091,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.00,TIMEOUT,mm_entry
2025-10-20T15:07:08.817010,2025-10-20T15:07:33.847422,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.03,TIMEOUT,mm_entry
2025-10-20T15:06:41.302544,2025-10-20T15:07:06.341496,TRXUSDT,BUY,CLOSED,0.32260000,0.32270000,154.99070056,0.0155,0.03,,25.04,TIMEOUT,mm_entry
2025-10-20T15:06:40.071439,2025-10-20T15:06:41.530313,ATOMUSDT,BUY,CLOSED,3.28700000,3.28900000,15.21143900,0.0304,0.06,,1.46,TP,mm_entry
2025-10-20T15:06:37.078568,2025-10-20T15:06:38.127476,ATOMUSDT,BUY,CLOSED,3.28700000,3.28900000,15.21143900,0.0304,0.06,,1.05,TP,mm_entry
2025-10-20T15:06:33.514848,2025-10-20T15:06:34.810252,ATOMUSDT,BUY,CLOSED,3.28600000,3.28800000,15.21606817,0.0304,0.06,,1.30,TP,mm_entry
